qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College Graduate,Graduate Study,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Republican,Democrat,Independent
16,,,0.571,0.644,0.508,0.584,0.591,0.570,0.493,0.613,0.529,0.615,0.520,0.602,0.662,0.543,0.620,0.590,0.686,0.708,0.515,0.369,0.541,0.612,0.526
16,,Oppose,377,148,228,126,116,84,51,28,70,62,74,51,39,242,113,22,67,62,135,110,178,136,56
16,,,0.368,0.310,0.417,0.372,0.359,0.365,0.381,0.350,0.446,0.356,0.428,0.317,0.269,0.384,0.338,0.361,0.296,0.241,0.402,0.556,0.387,0.341,0.409
16,,Don't know ,63,22,41,15,16,15,17,3,4,5,9,13,10,46,14,3,4,13,28,15,33,19,9
16,,,0.061,0.046,0.075,0.044,0.050,0.065,0.127,0.038,0.025,0.029,0.052,0.081,0.069,0.073,0.042,0.049,0.018,0.051,0.083,0.076,0.072,0.048,0.066
17,"The Legislature may consider letting parents use state tax dollars to create Education Scholarship Accounts. These accounts, like vouchers, could be used by parents to pay for private school tuition and other educational costs. Supporters say this provides parents more flexibility to customize their children’s education, while critics say it takes education dollars away from public schools that depend on state funding. Do you support or oppose the creation of Education Scholarship Accounts?",Support,551,256,295,206,172,109,64,31,84,98,106,86,67,366,155,30,131,149,175,94,284,154,96
17,,,0.538,0.537,0.538,0.608,0.533,0.476,0.478,0.397,0.535,0.560,0.613,0.534,0.465,0.582,0.464,0.492,0.582,0.580,0.521,0.477,0.617,0.386,0.701
17,,Oppose,412,194,218,120,120,107,64,42,63,67,60,67,70,222,163,26,89,91,140,87,144,223,36
17,,,0.402,0.407,0.398,0.354,0.372,0.467,0.478,0.538,0.401,0.383,0.347,0.416,0.486,0.353,0.488,0.426,0.396,0.354,0.417,0.442,0.313,0.559,0.263
17,,Don't know ,62,27,35,13,31,13,6,5,10,10,7,8,7,41,16,5,5,17,21,16,32,22,5
17,,,0.061,0.057,0.064,0.038,0.096,0.057,0.045,0.064,0.064,0.057,0.040,0.050,0.049,0.065,0.048,0.082,0.022,0.066,0.063,0.081,0.070,0.055,0.036
18,Do you support allowing police to temporarily take guns away from people who have been shown to be a danger to themselves or others?,Support,794,335,459,265,239,181,110,67,140,136,123,115,105,454,293,47,187,183,253,167,327,353,91
