qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Democrat,Republican,Independent
8,,,0.189495625,0.161691542,0.211576846,0.162251656,0.188811189,0.219354839,0.265625,0.178861789,0.255319149,0.147540984,0.163522013,0.18452381,0.166083916,0.22519084,0.261538462,0.353383459,0.236966825,0.162337662,0.097777778,0.335365854,0.213483146,0.065671642,0.261780105,0.100737101,0.240506329
8,,Somewhat disapprove,86.60418144,41,46,43,17,26,6,12,17,11,19,14,70,12,4,4,29,34,18,8,35,41,12,66,7
8,,,0.096013505,0.10199005,0.091816367,0.142384106,0.059440559,0.083870968,0.09375,0.097560976,0.120567376,0.090163934,0.119496855,0.083333333,0.122377622,0.045801527,0.061538462,0.030075188,0.137440758,0.11038961,0.08,0.048780488,0.098314607,0.12238806,0.031413613,0.162162162,0.088607595
8,,Strongly disapprove,288.1521132,162,126,120,90,76,14,30,45,50,57,50,239,27,21,29,67,107,76,4,69,209,23,235,17
8,,,0.319459106,0.402985075,0.251497006,0.397350993,0.314685315,0.24516129,0.21875,0.243902439,0.319148936,0.409836066,0.358490566,0.297619048,0.417832168,0.103053435,0.323076923,0.218045113,0.317535545,0.347402597,0.337777778,0.024390244,0.193820225,0.623880597,0.060209424,0.577395577,0.215189873
8,,Don't know,100.0340496,38,62,39,29,32,7,22,13,15,13,15,65,28,7,32,25,20,19,18,51,23,29,48,18
8,,,0.110902494,0.094527363,0.123752495,0.129139073,0.101398601,0.103225806,0.109375,0.178861789,0.092198582,0.12295082,0.081761006,0.089285714,0.113636364,0.106870229,0.107692308,0.240601504,0.118483412,0.064935065,0.084444444,0.109756098,0.143258427,0.068656716,0.07591623,0.117936118,0.227848101
9,How much confidence do you currently have in the U.S. Supreme Court?,A great deal,168.4186825,91,77,70,47,51,15,9,21,29,20,44,126,30,12,15,21,68,53,5,42,111,18,131,10
9,,,0.186716943,0.2275,0.154,0.231023102,0.163763066,0.164516129,0.234375,0.072,0.146853147,0.239669421,0.126582278,0.26035503,0.219895288,0.114068441,0.179104478,0.112781955,0.099526066,0.220779221,0.235555556,0.030674847,0.117977528,0.330357143,0.047120419,0.321078431,0.126582278
9,,Quite a lot,130.9501182,76,55,53,45,33,7,5,25,21,37,15,112,11,8,19,41,43,27,4,35,91,10,106,14
9,,,0.145177515,0.19,0.11,0.174917492,0.156794425,0.106451613,0.109375,0.04,0.174825175,0.173553719,0.234177215,0.088757396,0.195462478,0.041825095,0.119402985,0.142857143,0.194312796,0.13961039,0.12,0.024539877,0.098314607,0.270833333,0.02617801,0.259803922,0.17721519
9,,Some,210.4829942,85,125,73,68,69,17,37,32,32,38,35,130,66,15,29,47,71,61,23,103,75,73,111,19
9,,,0.233351435,0.2125,0.25,0.240924092,0.236933798,0.222580645,0.265625,0.296,0.223776224,0.26446281,0.240506329,0.207100592,0.226876091,0.25095057,0.223880597,0.218045113,0.222748815,0.230519481,0.271111111,0.141104294,0.289325843,0.223214286,0.191099476,0.272058824,0.240506329
9,,Very little,355.4253449,140,215,82,121,152,25,50,64,36,60,72,186,138,32,59,97,114,78,120,167,46,263,45,32
9,,,0.394041402,0.35,0.43,0.270627063,0.421602787,0.490322581,0.390625,0.4,0.447552448,0.297520661,0.379746835,0.426035503,0.32460733,0.524714829,0.47761194,0.443609023,0.45971564,0.37012987,0.346666667,0.736196319,0.469101124,0.136904762,0.688481675,0.110294118,0.405063291
9,,Don't know,36.72286021,8,28,25,6,5,0,24,1,3,3,3,19,18,0,11,5,12,6,11,9,13,18,15,4
9,,,0.040712705,0.02,0.056,0.082508251,0.020905923,0.016129032,0,0.192,0.006993007,0.024793388,0.018987342,0.017751479,0.033158813,0.068441065,0,0.082706767,0.023696682,0.038961039,0.026666667,0.067484663,0.025280899,0.038690476,0.047120419,0.036764706,0.050632911
10,Do you support or oppose the U.S. Supreme Court’s ruling overturning the 1973 Roe v. Wade decision which guaranteed the right to an abortion? ,Strongly support,277.1443145,137,141,116,87,72,13,27,42,47,49,50,232,22,23,15,49,118,81,2,45,225,15,242,16
10,,,0.307255338,0.34079602,0.281437126,0.38410596,0.303135889,0.232258065,0.206349206,0.217741935,0.295774648,0.385245902,0.310126582,0.294117647,0.404886562,0.08365019,0.348484848,0.112781955,0.231132075,0.383116883,0.36,0.012269939,0.126760563,0.669642857,0.039267016,0.594594595,0.205128205
