qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
6,,,0.256495169,0.28611898,0.232142857,0.346666667,0.277777778,0.198067633,0.28125,0.274725275,0.140186916,0.275229358,0.25,0.204545455,0.19212963,0.325301205,0.368421053,0.155172414,0.177489177,0.344,0.217592593,0.180803571,0.319526627,0.342857143,0.38,0.208754209,0.342857143
7,"If former mayor Kasim Reed were to endorse one of the candidates running for mayor, would this influence who you vote for?",Yes,188.4599819,81,107,39,45,105,9,22,23,34,33,34,109,74,6,16,56,51,51,105,36,39,15,152,19
7,,,0.234987509,0.230113636,0.23830735,0.173333333,0.277777778,0.253623188,0.140625,0.244444444,0.219047619,0.311926606,0.266129032,0.193181818,0.252314815,0.222891566,0.157894737,0.280701754,0.242424242,0.204819277,0.236111111,0.233853007,0.214285714,0.276595745,0.15,0.256323777,0.271428571
7,,No ,543.0357796,230,313,145,108,289,41,61,77,74,84,132,291,221,31,40,166,166,147,298,124,91,82,407,26
7,,,0.67710197,0.653409091,0.697104677,0.644444444,0.666666667,0.698067633,0.640625,0.677777778,0.733333333,0.678899083,0.677419355,0.75,0.673611111,0.665662651,0.815789474,0.701754386,0.718614719,0.666666667,0.680555556,0.663697105,0.738095238,0.645390071,0.82,0.686340641,0.371428571
7,,Don't know ,70.50423847,41,29,41,9,20,14,7,5,1,7,10,32,37,1,1,9,32,18,46,8,11,3,34,25
7,,,0.087910522,0.116477273,0.064587973,0.182222222,0.055555556,0.048309179,0.21875,0.077777778,0.047619048,0.009174312,0.056451613,0.056818182,0.074074074,0.111445783,0.026315789,0.01754386,0.038961039,0.128514056,0.083333333,0.102449889,0.047619048,0.078014184,0.03,0.057335582,0.357142857
8,"If current mayor Keisha Lance Bottoms were to endorse one of the candidates for running mayor, would this influence who you vote for?",Yes,271.8024011,111,161,66,56,149,16,27,34,49,46,51,146,120,6,35,73,72,68,160,55,41,27,214,21
8,,,0.338905737,0.314447592,0.357777778,0.293333333,0.345679012,0.359903382,0.25,0.3,0.320754717,0.449541284,0.368,0.289772727,0.337962963,0.361445783,0.157894737,0.603448276,0.316017316,0.288,0.31627907,0.355555556,0.327380952,0.292857143,0.27,0.36026936,0.3
8,,No ,458.8732271,197,262,132,89,238,36,56,66,49,74,115,243,186,30,19,141,156,122,244,97,90,70,336,26
8,,,0.572161131,0.558073654,0.582222222,0.586666667,0.549382716,0.574879227,0.5625,0.622222222,0.622641509,0.449541284,0.592,0.653409091,0.5625,0.560240964,0.789473684,0.327586207,0.61038961,0.624,0.56744186,0.542222222,0.577380952,0.642857143,0.7,0.565656566,0.371428571
8,,Don't know ,71.32437178,45,27,27,17,27,12,7,6,11,5,10,43,26,2,4,17,22,25,46,16,9,3,44,23
8,,,0.088933132,0.127478754,0.06,0.12,0.104938272,0.065217391,0.1875,0.077777778,0.056603774,0.100917431,0.04,0.056818182,0.099537037,0.078313253,0.052631579,0.068965517,0.073593074,0.088,0.11627907,0.102222222,0.095238095,0.064285714,0.03,0.074074074,0.328571429
9,Do you approve or disapprove of the way Keisha Lance Bottoms is handling her job as the mayor of Atlanta? ,Strongly approve,235.3524471,78,157,101,52,82,32,44,34,28,40,21,59,164,12,15,47,81,73,135,45,36,1,216,15
9,,,0.293456917,0.220963173,0.349665924,0.448888889,0.320987654,0.198067633,0.5,0.47826087,0.317757009,0.259259259,0.32,0.119318182,0.1359447,0.495468278,0.315789474,0.254237288,0.202586207,0.325301205,0.337962963,0.301339286,0.267857143,0.255319149,0.01010101,0.363636364,0.214285714
9,,Somewhat approve,252.8711457,123,130,44,58,150,16,25,38,40,44,51,160,85,8,19,89,69,65,162,52,24,15,205,18
9,,,0.31530068,0.348441926,0.289532294,0.195555556,0.358024691,0.362318841,0.25,0.27173913,0.355140187,0.37037037,0.352,0.289772727,0.368663594,0.256797583,0.210526316,0.322033898,0.38362069,0.277108434,0.300925926,0.361607143,0.30952381,0.170212766,0.151515152,0.345117845,0.257142857
9,,Somewhat disapprove,115.7032695,52,64,15,29,72,3,8,13,19,18,41,87,26,3,5,47,32,24,69,22,20,18,83,9
9,,,0.144268416,0.147308782,0.142538976,0.066666667,0.179012346,0.173913043,0.046875,0.086956522,0.121495327,0.175925926,0.144,0.232954545,0.200460829,0.078549849,0.078947368,0.084745763,0.202586207,0.128514056,0.111111111,0.154017857,0.130952381,0.141843972,0.181818182,0.13973064,0.128571429
9,,Strongly disapprove,145.2472269,70,75,46,12,87,3,13,19,12,17,54,108,28,10,10,32,57,43,51,37,55,63,50,23
9,,,0.181106268,0.198300283,0.167037862,0.204444444,0.074074074,0.210144928,0.046875,0.141304348,0.177570093,0.111111111,0.136,0.306818182,0.248847926,0.084592145,0.263157895,0.169491525,0.137931034,0.228915663,0.199074074,0.113839286,0.220238095,0.390070922,0.636363636,0.084175084,0.328571429
9,,Don't know,52.82591086,30,23,19,11,23,10,2,3,9,6,9,20,28,5,10,17,10,11,31,12,6,2,40,5
9,,,0.065867719,0.084985836,0.051224944,0.084444444,0.067901235,0.055555556,0.15625,0.02173913,0.028037383,0.083333333,0.048,0.051136364,0.046082949,0.084592145,0.131578947,0.169491525,0.073275862,0.040160643,0.050925926,0.069196429,0.071428571,0.042553191,0.02020202,0.067340067,0.071428571
10,Would you have preferred that current mayor Keisha Lance Bottoms was running for another term in office?,Yes,305.1800996,128,177,117,80,108,42,48,34,47,55,34,101,191,13,25,86,95,79,182,59,40,11,267,21
10,,,0.380523815,0.362606232,0.394209354,0.522321429,0.49382716,0.260869565,0.65625,0.527472527,0.320754717,0.431192661,0.443548387,0.192090395,0.233256351,0.577039275,0.342105263,0.431034483,0.370689655,0.381526104,0.365740741,0.405345212,0.351190476,0.283687943,0.11,0.449494949,0.3
10,,No ,410.5349477,193,218,77,66,266,12,39,46,53,59,129,279,113,19,25,126,138,102,229,92,77,72,274,40
10,,,0.511888962,0.54674221,0.485523385,0.34375,0.407407407,0.642512077,0.1875,0.428571429,0.433962264,0.486238532,0.475806452,0.728813559,0.644341801,0.341389728,0.5,0.431034483,0.543103448,0.554216867,0.472222222,0.510022272,0.547619048,0.546099291,0.72,0.461279461,0.571428571
10,,Don't know,86.2849527,32,54,30,16,40,10,4,26,9,10,14,53,27,6,8,20,16,35,38,17,24,17,53,9
10,,,0.107587223,0.090651558,0.120267261,0.133928571,0.098765432,0.096618357,0.15625,0.043956044,0.245283019,0.082568807,0.080645161,0.079096045,0.122401848,0.081570997,0.157894737,0.137931034,0.086206897,0.064257028,0.162037037,0.084632517,0.101190476,0.170212766,0.17,0.089225589,0.128571429
