qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other (race),18-29,30-44,45-64,65+,Democrat,Independent,Republican
9,,Less active,53,25,28,7,8,5,21,13,7,9,15,2,9,6,28,23,3,2,10,18,23,26,8,17
9,,,0.1,0.054945055,0.04964539,0.056,0.047337278,0.081967213,0.054404145,0.048148148,0.134615385,0.072,0.079787234,0.012658228,0.053254438,0.033707865,0.043209877,0.078498294,0.0375,0.028169014,0.048309179,0.045112782,0.079310345,0.063260341,0.070175439,0.039170507
9,,The same,614,291,323,79,111,35,235,151,32,74,109,96,100,109,415,161,38,40,131,248,163,195,72,312
9,,,0.6,0.63956044,0.572695035,0.632,0.656804734,0.573770492,0.60880829,0.559259259,0.615384615,0.592,0.579787234,0.607594937,0.591715976,0.612359551,0.640432099,0.549488055,0.475,0.563380282,0.632850242,0.621553885,0.562068966,0.474452555,0.631578947,0.718894009
9,,Don’t know,12,4,8,4,1,0,2,0,1,1,0,1,0,1,4,3,6,0,1,2,3,1,1,3
9,,,0.0,0.008791209,0.014184397,0.032,0.00591716,0,0.005181347,0,0.019230769,0.008,0,0.006329114,0,0.005617978,0.00617284,0.010238908,0.075,0,0.004830918,0.005012531,0.010344828,0.00243309,0.00877193,0.006912442
10,"If a candidate for any office strongly embraces President Trump and his view on issues, does that make you more likely to vote for that candidate, less likely to vote for that candidate, or would it have no effect either way?",More likely,227,123,103,28,45,23,83,46,9,28,36,37,39,42,208,7,12,9,23,89,93,8,12,200
10,,,0.2,0.27032967,0.182624113,0.225806452,0.267857143,0.37704918,0.215025907,0.171641791,0.173076923,0.224,0.191489362,0.234177215,0.232142857,0.235955056,0.320987654,0.023890785,0.15,0.126760563,0.110576923,0.223057644,0.320689655,0.01946472,0.105263158,0.461893764
10,,Less likely,433,154,279,33,62,13,174,149,20,56,83,66,78,72,192,210,32,28,124,159,108,345,50,19
10,,,0.4,0.338461538,0.494680851,0.266129032,0.369047619,0.213114754,0.450777202,0.555970149,0.384615385,0.448,0.441489362,0.417721519,0.464285714,0.404494382,0.296296296,0.716723549,0.4,0.394366197,0.596153846,0.398496241,0.372413793,0.839416058,0.438596491,0.043879908
10,,No effect,338,169,169,59,60,24,124,69,22,39,67,53,49,64,242,69,27,33,56,146,84,51,50,209
10,,,0.3,0.371428571,0.29964539,0.475806452,0.357142857,0.393442623,0.321243523,0.257462687,0.423076923,0.312,0.356382979,0.335443038,0.291666667,0.359550562,0.37345679,0.235494881,0.3375,0.464788732,0.269230769,0.365914787,0.289655172,0.124087591,0.438596491,0.482678984
10,,Don’t know,22,9,13,4,1,1,5,4,1,2,2,2,2,0,6,7,9,1,5,5,5,7,2,5
10,,,0.0,0.01978022,0.023049645,0.032258065,0.005952381,0.016393443,0.012953368,0.014925373,0.019230769,0.016,0.010638298,0.012658228,0.011904762,0,0.009259259,0.023890785,0.1125,0.014084507,0.024038462,0.012531328,0.017241379,0.01703163,0.01754386,0.011547344
