qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Democrat,Independent,Republican,2016 presidential vote: Trump,2016 presidential vote: Clinton,2016 presidential vote: Johnson,2016 presidential vote: other,2016 presidential vote: Did not vote
8,,,0.418803079,0.481092437,0.365280289,0.538461538,0.528205128,0.596774194,0.41322314,0.257462687,0.310344828,0.374301676,0.447368421,0.407407407,0.502923977,0.380952381,0.600318471,0.077669903,0.322222222,0.314814815,0.350180505,0.457063712,0.521327014,0.023529412,0.314049587,0.870192308,0.895104895,0.031460674,0.25,0.104166667,0.293103448
8,,Unfavorable,571.5657454,228,344,54,91,24,204,194,38,111,100,91,83,113,241,276,54,108,169,192,98,410,79,46,39,426,12,42,36
8,,,0.556204697,0.478991597,0.622061483,0.415384615,0.466666667,0.387096774,0.561983471,0.723880597,0.655172414,0.620111732,0.526315789,0.561728395,0.485380117,0.597883598,0.383757962,0.893203883,0.6,0.666666667,0.610108303,0.531855956,0.464454976,0.964705882,0.652892562,0.110576923,0.090909091,0.957303371,0.6,0.875,0.620689655
8,,Don't know ,25.68245023,19,7,6,1,1,9,5,2,1,5,5,2,4,10,9,7,3,11,4,3,5,4,8,6,5,3,1,5
8,,,0.024992225,0.039915966,0.012658228,0.046153846,0.005128205,0.016129032,0.024793388,0.018656716,0.034482759,0.005586592,0.026315789,0.030864198,0.011695906,0.021164021,0.015923567,0.029126214,0.077777778,0.018518519,0.039711191,0.011080332,0.014218009,0.011764706,0.033057851,0.019230769,0.013986014,0.011235955,0.15,0.020833333,0.086206897
9,Do you have a favorable or unfavorable impression of Speaker of the House Nancy Pelosi?,Favorable,437.3621905,180,258,42,83,20,146,145,31,80,84,73,62,85,173,231,33,75,119,155,86,338,46,27,25,343,2,28,28
9,,,0.425607914,0.378151261,0.467391304,0.323076923,0.425641026,0.322580645,0.401098901,0.541044776,0.525423729,0.446927374,0.442105263,0.450617284,0.360465116,0.447368421,0.275477707,0.747572816,0.366666667,0.462962963,0.43115942,0.429362881,0.407582938,0.79342723,0.37704918,0.064903846,0.058411215,0.769058296,0.095238095,0.583333333,0.482758621
9,,Unfavorable,527.9979398,265,263,77,101,37,200,109,19,92,97,81,102,93,426,61,40,78,131,189,120,63,63,378,392,80,14,17,20
9,,,0.513807793,0.556722689,0.476449275,0.592307692,0.517948718,0.596774194,0.549450549,0.406716418,0.322033898,0.51396648,0.510526316,0.5,0.593023256,0.489473684,0.678343949,0.197411003,0.444444444,0.481481481,0.474637681,0.523545706,0.568720379,0.147887324,0.516393443,0.908653846,0.91588785,0.179372197,0.666666667,0.354166667,0.344827586
9,,Don't know ,62.25748733,31,31,11,11,5,18,14,9,7,9,8,8,12,29,17,17,9,26,17,5,25,13,11,11,23,5,3,10
9,,,0.060584293,0.06512605,0.05615942,0.084615385,0.056410256,0.080645161,0.049450549,0.052238806,0.152542373,0.039106145,0.047368421,0.049382716,0.046511628,0.063157895,0.046178344,0.055016181,0.188888889,0.055555556,0.094202899,0.047091413,0.023696682,0.058685446,0.106557377,0.026442308,0.025700935,0.051569507,0.238095238,0.0625,0.172413793
10,Do you have a favorable or unfavorable impression of Senate Majority Leader Mitch McConnell?,Favorable,320.3460064,165,155,54,68,16,114,68,19,58,65,40,59,57,225,78,18,48,59,119,91,68,28,215,207,73,4,16,19
10,,,0.311736585,0.347368421,0.280289331,0.415384615,0.348717949,0.262295082,0.313186813,0.253731343,0.316666667,0.325842697,0.342105263,0.24691358,0.34502924,0.3,0.358280255,0.252427184,0.2,0.296296296,0.213768116,0.329639889,0.431279621,0.159624413,0.231404959,0.518072289,0.48364486,0.164044944,0.19047619,0.333333333,0.327586207
10,,Unfavorable,531.941209,246,286,43,92,27,193,174,26,81,93,95,89,118,303,184,45,75,155,196,100,307,64,129,139,321,11,23,24
10,,,0.517645085,0.517894737,0.517179024,0.330769231,0.471794872,0.442622951,0.53021978,0.649253731,0.433333333,0.45505618,0.489473684,0.586419753,0.520467836,0.621052632,0.482484076,0.595469256,0.5,0.462962963,0.561594203,0.542936288,0.473933649,0.720657277,0.52892562,0.310843373,0.324766355,0.721348315,0.523809524,0.479166667,0.413793103
10,,Don't know ,175.3304022,64,112,33,35,18,57,26,15,39,32,27,23,15,100,47,27,39,62,46,20,51,29,71,82,51,6,9,15
